,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
60,R015272c0g3_i01,8,g296,NAN,ESRP1,Epithelial splicing regulatory protein 1 (RNA-binding motif protein 35A) (RNA-binding protein 35A),Esrp1 Rbm35a,RNA splicing [GO:0008380]; mRNA processing [GO:0006397]; regulation of RNA splicing [GO:0043484]; regulation of inner ear auditory receptor cell fate specification [GO:0042669],"mRNA splicing factor that regulates the formation of epithelial cell-specific isoforms. Specifically regulates the expression of FGFR2-IIIb, an epithelial cell-specific isoform of FGFR2. Also regulates the splicing of CD44, CTNND1, ENAH, 3 transcripts that undergo changes in splicing during the epithelial-to-mesenchymal transition (EMT). Acts by directly binding specific sequences in mRNAs. Binds the GU-rich sequence motifs in the ISE/ISS-3, a cis-element regulatory region present in the mRNA of FGFR2 (By similarity). Regulates splicing and expression of genes involved in inner ear development, auditory hair cell differentiation, and cell fate specification in the cochlear epithelium (By similarity). "
61,R015284c0g1_i02,3,g7501,NAN,NA,Sorting nexin-12,SNX12,negative regulation of early endosome to late endosome transport [GO:2000642]; negative regulation of gene expression [GO:0010629]; negative regulation of protein catabolic process [GO:0042177]; negative regulation of protein processing [GO:0010955]; negative regulation of protein transport [GO:0051224]; protein transport [GO:0015031]; regulation of endocytosis [GO:0030100],May be involved in several stages of intracellular trafficking. 
62,R015382c0g1_i01,7,g8682,NAN,NA,NA,NA,NA,NA
63,R015410c0g1_i02,2,g1066,NAN,RFC5,Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36),Rfc5,DNA-dependent DNA replication [GO:0006261]; positive regulation of DNA-directed DNA polymerase activity [GO:1900264],The elongation of primed DNA templates by DNA polymerase delta and epsilon requires the action of the accessory proteins proliferating cell nuclear antigen (PCNA) and activator 1.
64,R015415c0g1_i01,9,NA,NAN,NA,NA,NA,NA,NA
65,R015433c0g1_i01,2,g6122,IMP 1,IMPA2,Inositol monophosphatase 1 (IMP 1) (IMPase 1) (EC 3.1.3.25) (D-galactose 1-phosphate phosphatase) (EC 3.1.3.94) (Inositol-1(or 4)-monophosphatase 1) (Lithium-sensitive myo-inositol monophosphatase A1),Impa1 Imp,inositol biosynthetic process [GO:0006021]; inositol phosphate dephosphorylation [GO:0046855]; phosphatidylinositol biosynthetic process [GO:0006661]; phosphatidylinositol phosphorylation [GO:0046854]; response to lithium ion [GO:0010226]; signal transduction [GO:0007165],"Responsible for the provision of inositol required for synthesis of phosphatidylinositol and polyphosphoinositides and has been implicated as the pharmacological target for lithium action in brain. Has broad substrate specificity and can use myo-inositol 1,3-diphosphate, myo-inositol 1,4-diphosphate, scyllo-inositol-phosphate, glucose-1-phosphate, glucose-6-phosphate, fructose-1-phosphate, beta-glycerophosphate, and 2'-AMP as substrates (By similarity). Is equally active with myo-inositol monophosphate and D-galactose 1-phosphate. "
66,R015457c0g1_i01,3,NA,NAN,NA,NA,NA,NA,NA
67,R015490c0g1_i01,2,g27366,NAN,DCAF13,DDB1- and CUL4-associated factor 13 (WD repeat and SOF domain-containing protein 1),DCAF13 WDSOF1 RCJMB04_5m12,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000462]; protein ubiquitination [GO:0016567]",Possible role in ribosomal RNA processing. May function as a substrate receptor for CUL4-DDB1 E3 ubiquitin-protein ligase complex (By similarity). 
68,R015596c0g2_i01,7,g191,NAN,NA,Adrenocorticotropic hormone receptor (ACTH receptor) (ACTH-R) (Adrenocorticotropin receptor) (Melanocortin receptor 2) (MC2-R),Mc2r Acthr,adenylate cyclase-activating G protein-coupled receptor signaling pathway [GO:0007189]; placenta development [GO:0001890],Receptor for corticotropin (ACTH). This receptor is mediated by G proteins (G(s)) which activate adenylate cyclase (cAMP).
69,R015621c0g1_i01,9,g21389,NAN,ITGB8,Integrin beta-PS (Position-specific antigen beta subunit) (Protein myospheroid) (Protein olfactory C),mys l(1)mys olfC CG1560,"actin filament organization [GO:0007015]; apposition of dorsal and ventral imaginal disc-derived wing surfaces [GO:0007475]; axon guidance [GO:0007411]; border follicle cell migration [GO:0007298]; calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0016339]; calcium-dependent cell-matrix adhesion [GO:0016340]; cell adhesion mediated by integrin [GO:0033627]; cell migration [GO:0016477]; cell-matrix adhesion [GO:0007160]; cell-substrate adhesion [GO:0031589]; central nervous system development [GO:0007417]; central nervous system morphogenesis [GO:0021551]; determination of adult lifespan [GO:0008340]; dorsal closure [GO:0007391]; dorsal trunk growth, open tracheal system [GO:0035001]; flight behavior [GO:0007629]; germ-band extension [GO:0007377]; germ-line stem cell population maintenance [GO:0030718]; hemocyte migration [GO:0035099]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; imaginal disc-derived male genitalia morphogenesis [GO:0048803]; integrin-mediated signaling pathway [GO:0007229]; larval heart development [GO:0007508]; maintenance of epithelial integrity, open tracheal system [GO:0035160]; midgut development [GO:0007494]; muscle attachment [GO:0016203]; muscle organ development [GO:0007517]; negative regulation of cell migration [GO:0030336]; pericardium morphogenesis [GO:0003344]; positive regulation of synapse maturation [GO:0090129]; regulation of cell shape [GO:0008360]; regulation of stress fiber assembly [GO:0051492]; salivary gland development [GO:0007431]; sarcomere organization [GO:0045214]; sensory perception of smell [GO:0007608]; substrate adhesion-dependent cell spreading [GO:0034446]; substrate-dependent cell migration, cell extension [GO:0006930]; ventral cord development [GO:0007419]; visual perception [GO:0007601]","Integrin alpha-PS1/beta-PS is a receptor for laminin (PubMed:7972082). Integrin alpha-PS2/beta-PS is a receptor for Tig, wb and Ten-m (PubMed:7924982, PubMed:7972082, PubMed:9660786). Contributes to endodermal integrity and adhesion between the midgut epithelium and the surrounding visceral muscle (PubMed:15469969). Essential for migration of the primordial midgut cells and for maintaining, but not establishing, cell polarity in the midgut epithelium (PubMed:15469969). The two beta subunits mediate midgut migration by distinct mechanisms: beta-PS requires rhea/talin and Itgbn does not (PubMed:15469969). Required for rhea/talin correct cellular localization in the midgut (PubMed:15469969). Required for many embryonic (dorsal closure and somatic muscle attachments) and postembryonic developmental processes (attachment between cell layers of imaginal disks, organization of ommatidial arrays and flight muscle development) (PubMed:8119134, PubMed:7924982, PubMed:7972082, PubMed:10821184). Involved in the function and/or development of the olfactory system (PubMed:10821184). In the testes, essential for shv-dependent maintenance of somatic hub cells and their localization to the apical tip (PubMed:27191715). Plays a role in timely border cell migration during oogenesis (PubMed:19035354). "
70,R015762c0g1_i01,5,g19577,NAN,CTSZ,Cathepsin Z (EC 3.4.18.1) (Cathepsin Y),Ctsz Ctsy,epithelial tube branching involved in lung morphogenesis [GO:0060441]; negative regulation of neuron projection development [GO:0010977]; negative regulation of plasminogen activation [GO:0010757]; negative regulation of protein binding [GO:0032091]; positive regulation of neural precursor cell proliferation [GO:2000179]; positive regulation of neuron apoptotic process [GO:0043525]; proteolysis involved in cellular protein catabolic process [GO:0051603],"Exhibits carboxy-monopeptidase as well as carboxy-dipeptidase activity (PubMed:12553736, PubMed:10615013). Capable of producing kinin potentiating peptides (PubMed:10615013). "
71,R015924c0g1_i01,5,g7421,NAN,RING1,E3 ubiquitin-protein ligase RING2 (EC 2.3.2.27) (RING finger protein 1B) (RING1b) (RING finger protein 2) (RING-type E3 ubiquitin transferase RING2),RNF2 RING1B,histone H2A-K119 monoubiquitination [GO:0036353]; negative regulation of transcription by RNA polymerase II [GO:0000122],"E3 ubiquitin-protein ligase that mediates monoubiquitination of 'Lys-119' of histone H2A (H2AK119Ub), thereby playing a central role in histone code and gene regulation. H2AK119Ub gives a specific tag for epigenetic transcriptional repression and participates in X chromosome inactivation of female mammals. May be involved in the initiation of both imprinted and random X inactivation. Essential component of a Polycomb group (PcG) multiprotein PRC1-like complex, a complex class required to maintain the transcriptionally repressive state of many genes, including Hox genes, throughout development. PcG PRC1 complex acts via chromatin remodeling and modification of histones, rendering chromatin heritably changed in its expressibility. E3 ubiquitin-protein ligase activity is enhanced by BMI1/PCGF4. Acts as the main E3 ubiquitin ligase on histone H2A of the PRC1 complex, while RING1 may rather act as a modulator of RNF2/RING2 activity. Plays a role in the transcriptional repression of genes that are required for pluripotency in embryonic stem cells, thereby contributing to differentiation of the ectodermal and endodermal germ layers. Association with the chromosomal DNA is cell-cycle dependent. In resting B- and T-lymphocytes, interaction with AURKB leads to block its activity, thereby maintaining transcription in resting lymphocytes. "
72,R015976c0g1_i02,3,g4427,NAN,NA,NA,NA,NA,NA
73,R016351c0g1_i01,1,g1063,NAN,SPINT4,U-actitoxin-Avd3h (U-AITX-Avd3h) (AsKC5),SPINT4,NA,Dual-function toxin that inhibits both the serine protease trypsin (Kd=30 nM) and voltage-gated potassium channels Kv1.2/KCNA2 (IC(50)=2800 nM). 
74,R016577c0g1_i03,5,g32798,NAN,NA,NA,NA,NA,NA
75,R016615c0g2_i01,2,g28591,NAN,NA,NA,NA,NA,NA
76,R016766c0g1_i01,2,g2047,EMP-1,NA,NA,EMP-1,NA,NA
77,R016768c0g2_i01,6,g21563,NAN,ACSL4,Long-chain-fatty-acid--CoA ligase 4 (EC 6.2.1.3) (Arachidonate--CoA ligase) (EC 6.2.1.15) (Long-chain acyl-CoA synthetase 4) (LACS 4) (mACS4),Acsl4 Acs4 Facl4,dendritic spine development [GO:0060996]; embryonic process involved in female pregnancy [GO:0060136]; fatty acid metabolic process [GO:0006631]; fatty acid transport [GO:0015908]; lipid biosynthetic process [GO:0008610]; lipid metabolic process [GO:0006629]; long-chain fatty-acyl-CoA biosynthetic process [GO:0035338]; negative regulation of prostaglandin secretion [GO:0032307]; neuron differentiation [GO:0030182]; positive regulation of cell growth [GO:0030307]; positive regulation of insulin secretion [GO:0032024]; regulation of fatty acid metabolic process [GO:0019217]; response to interleukin-15 [GO:0070672]; response to nutrient [GO:0007584]; triglyceride biosynthetic process [GO:0019432],"Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoA for both synthesis of cellular lipids, and degradation via beta-oxidation. Preferentially activates arachidonate and eicosapentaenoate as substrates. Preferentially activates 8,9-EET > 14,15-EET > 5,6-EET > 11,12-EET. Modulates glucose-stimulated insulin secretion by regulating the levels of unesterified EETs (By similarity). Modulates prostaglandin E2 secretion (By similarity). "
78,R017069c0g1_i02,6,g5621,NAN,PITX1,Pituitary homeobox 1 (Homeobox protein PITX1) (X-PITX-1) (xPitx1) (Paired-like homeodomain transcription factor 1),pitx1,multicellular organism development [GO:0007275],"Sequence-specific transcription factor that binds gene promoters and activates their transcription. May play a role in the development of anterior structures, and in particular, the brain and facies and in specifying the identity or structure of hindlimb. "
79,R017264c0g1_i02,3,g22163,XR,DCXR,L-xylulose reductase (XR) (EC 1.1.1.10) (Dicarbonyl/L-xylulose reductase),Dcxr Glb,D-xylose metabolic process [GO:0042732]; NADP metabolic process [GO:0006739]; glucose metabolic process [GO:0006006]; protein homotetramerization [GO:0051289]; xylulose metabolic process [GO:0005997],"Catalyzes the NADPH-dependent reduction of several pentoses, tetroses, trioses, alpha-dicarbonyl compounds and L-xylulose. Participates in the uronate cycle of glucose metabolism. May play a role in the water absorption and cellular osmoregulation in the proximal renal tubules by producing xylitol, an osmolyte, thereby preventing osmolytic stress from occurring in the renal tubules."
80,R017330c0g1_i02,2,g8512,NAN,NA,NA,NA,NA,NA
81,R017370c0g1_i01,2,g27913,xMCM5-A,MCM5,DNA replication licensing factor mcm5 (EC 3.6.4.12),mcm5 TEgg011k14.1,DNA replication initiation [GO:0006270]; DNA unwinding involved in DNA replication [GO:0006268]; chordate embryonic development [GO:0043009]; double-strand break repair via break-induced replication [GO:0000727]; mitotic cell cycle [GO:0000278]; negative regulation of apoptotic process [GO:0043066]; pre-replicative complex assembly involved in nuclear cell cycle DNA replication [GO:0006267]; regulation of DNA-dependent DNA replication initiation [GO:0030174],"Acts as component of the mcm2-7 complex (mcm complex) which is the putative replicative helicase essential for 'once per cell cycle' DNA replication initiation and elongation in eukaryotic cells. The active ATPase sites in the mcm2-7 ring are formed through the interaction surfaces of two neighboring subunits such that a critical structure of a conserved arginine finger motif is provided in trans relative to the ATP-binding site of the Walker A box of the adjacent subunit. The six ATPase active sites, however, are likely to contribute differentially to the complex helicase activity (By similarity). "
82,R017412c0g1_i01,5,g9247,NAN,NA,Neurocalcin,NA,NA,NA
83,R017451c0g1_i01,5,g2915,NAN,NA,NA,NA,NA,NA
84,R017477c0g1_i01,6,g31239,NAN,CD38,ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6) (2'-phospho-ADP-ribosyl cyclase) (2'-phospho-ADP-ribosyl cyclase/2'-phospho-cyclic-ADP-ribose transferase) (EC 2.4.99.20) (2'-phospho-cyclic-ADP-ribose transferase) (ADP-ribosyl cyclase) (ADPRC) (ADRC) (NAD glycohydrolase) (NAD(+) nucleosidase) (NADase),CD38,single fertilization [GO:0007338],"Synthesizes the second messengers cyclic ADP-ribose and nicotinate-adenine dinucleotide phosphate, the former a second messenger for calcium mobilization from endoplasmic reticulum. Also has cADPr hydrolase activity. "
85,R017539c0g1_i02,5,g11497,NAN,LMCD1,Testin (Xtes),tes,neural crest cell migration [GO:0001755]; regulation of cell population proliferation [GO:0042127],"Scaffold protein that may play a role in cell adhesion, cell spreading and in the reorganization of the actin cytoskeleton. May inhibit cell growth (By similarity). Regulates cranial neural crest migration. Acts together with prickle1 to control axial elongation. "
86,R017823c0g1_i01,2,g17001,NAN,NA,NA,NA,NA,NA
87,R017890c0g1_i01,7,NA,NAN,NA,NA,NA,NA,NA
88,R017892c0g1_i01,6,g31588,NAN,MOS,NA,MOS,NA,NA
89,R018009c0g1_i01,2,g18561,NAN,NA,NA,NA,NA,NA
